manifest_id,feature_block,source_category,source_db,source_table,source_columns,source_use_case,adjudication_decision,strict_asof_required,same_day_allowed,current_outcome_dependency,market_dependency,external_dependency,inherits_b0,asof_rule,notes
B0_SAFE_CORE::runner_entry::race_runners::frame_number::CURRENT_ENTRY,B0_SAFE_CORE,runner_entry,nankan_history.sqlite,race_runners,frame_number,CURRENT_ENTRY,CURRENT_ENTRY_ALLOWED,false,false,false,false,false,true,current listed entry value,Raw jockey/trainer identity excluded from direct GBDT input.
B0_SAFE_CORE::runner_entry::race_runners::horse_number::CURRENT_ENTRY,B0_SAFE_CORE,runner_entry,nankan_history.sqlite,race_runners,horse_number,CURRENT_ENTRY,CURRENT_ENTRY_ALLOWED,false,false,false,false,false,true,current listed entry value,Raw jockey/trainer identity excluded from direct GBDT input.
B0_SAFE_CORE::runner_entry::race_runners::jockey_affiliation::CURRENT_ENTRY,B0_SAFE_CORE,runner_entry,nankan_history.sqlite,race_runners,jockey_affiliation,CURRENT_ENTRY,CURRENT_ENTRY_ALLOWED,false,false,false,false,false,true,current listed entry value,Raw jockey/trainer identity excluded from direct GBDT input.
B0_SAFE_CORE::runner_entry::race_runners::assigned_weight::CURRENT_ENTRY,B0_SAFE_CORE,runner_entry,nankan_history.sqlite,race_runners,assigned_weight,CURRENT_ENTRY,CURRENT_ENTRY_ALLOWED,false,false,false,false,false,true,current listed entry value,Raw jockey/trainer identity excluded from direct GBDT input.
B0_SAFE_CORE::runner_entry::race_runners::trainer_affiliation::CURRENT_ENTRY,B0_SAFE_CORE,runner_entry,nankan_history.sqlite,race_runners,trainer_affiliation,CURRENT_ENTRY,CURRENT_ENTRY_ALLOWED,false,false,false,false,false,true,current listed entry value,Raw jockey/trainer identity excluded from direct GBDT input.
B0_SAFE_CORE::horse_static::horses::birth_date::CURRENT_STATIC,B0_SAFE_CORE,horse_static,nankan_history.sqlite,horses,birth_date,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current static metadata,birth_date is age derivation only.
B0_SAFE_CORE::horse_static::horses::sex::CURRENT_STATIC,B0_SAFE_CORE,horse_static,nankan_history.sqlite,horses,sex,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,true,current static metadata,birth_date is age derivation only.
B0_SAFE_CORE::lagged_horse_history::race_runners::horse_key + finish_position + finish_time_seconds + last_3f::LAGGED_HISTORY,B0_SAFE_CORE,lagged_horse_history,nankan_history.sqlite,race_runners,horse_key + finish_position + finish_time_seconds + last_3f,LAGGED_HISTORY,LAGGED_HISTORY_ALLOWED,true,false,false,false,false,true,source_race_date < target_race_date,Strictly prior horse outcome-derived history.
B0_SAFE_CORE::lagged_jockey_history::race_runners::jockey + finish_position::LAGGED_GROUPING/LAGGED_HISTORY,B0_SAFE_CORE,lagged_jockey_history,nankan_history.sqlite,race_runners,jockey + finish_position,LAGGED_GROUPING/LAGGED_HISTORY,GROUPING_ONLY/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,true,source_race_date < target_race_date,Jockey is grouping only; outcome is strictly prior.
B0_SAFE_CORE::lagged_trainer_history::race_runners::trainer + finish_position::LAGGED_GROUPING/LAGGED_HISTORY,B0_SAFE_CORE,lagged_trainer_history,nankan_history.sqlite,race_runners,trainer + finish_position,LAGGED_GROUPING/LAGGED_HISTORY,GROUPING_ONLY/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,true,source_race_date < target_race_date,Trainer is grouping only; outcome is strictly prior.
B0_SAFE_CORE::basic_condition_history::races::venue + surface + direction + distance_m + going + weather::LAGGED_HISTORY,B0_SAFE_CORE,basic_condition_history,nankan_history.sqlite,races,venue + surface + direction + distance_m + going + weather,LAGGED_HISTORY,LAGGED_HISTORY_ALLOWED,true,false,false,false,false,true,source_race_date < target_race_date,Current weather/going excluded; past condition context only.
P1_CLASS_RULE::class_rule::races::race_type + conditions_raw + prize_1..5 + distance_m; horses.birth_date + sex::CURRENT_STATIC,P1_CLASS_RULE,class_rule,nankan_history.sqlite,races,race_type + conditions_raw + prize_1..5 + distance_m; horses.birth_date + sex,CURRENT_STATIC,CURRENT_STATIC_ALLOWED,false,false,false,false,false,false,current structural pre-race values,Source constructibility only; no value formula or feature selection is authorized.
P1_CLASS_EMPIRICAL::strictly_lagged_latent_state::race_runners::horse_key + finish_position + result_status::LAGGED_HISTORY,P1_CLASS_EMPIRICAL,strictly_lagged_latent_state,nankan_history.sqlite,race_runners,horse_key + finish_position + result_status,LAGGED_HISTORY,LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_CLASS_UNCERTAINTY::strictly_lagged_support::race_runners::horse_key + result_status::LAGGED_HISTORY,P1_CLASS_UNCERTAINTY,strictly_lagged_support,nankan_history.sqlite,race_runners,horse_key + result_status,LAGGED_HISTORY,LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_SPEED::strictly_lagged_speed::race_runners::horse_key + finish_time_seconds + result_status::LAGGED_HISTORY,P1_SPEED,strictly_lagged_speed,nankan_history.sqlite,race_runners,horse_key + finish_time_seconds + result_status,LAGGED_HISTORY,LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_PACE::strictly_lagged_pace::races/race_runners::lap_times_json + corners_json + final_3f + last_3f + horse_key::LAGGED_HISTORY,P1_PACE,strictly_lagged_pace,nankan_history.sqlite,races/race_runners,lap_times_json + corners_json + final_3f + last_3f + horse_key,LAGGED_HISTORY,LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_CONDITION_SIMILARITY::current_and_lagged_conditions::races::venue + surface + direction + distance_m + conditions_raw; lagged going/weather::CURRENT_STATIC/LAGGED_HISTORY,P1_CONDITION_SIMILARITY,current_and_lagged_conditions,nankan_history.sqlite,races,venue + surface + direction + distance_m + conditions_raw; lagged going/weather,CURRENT_STATIC/LAGGED_HISTORY,CURRENT_STATIC_ALLOWED/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,current structural plus source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_RACE_COMPOSITION::pre_race_runner_state::races/race_runners::current allowed B0 entries + strictly lagged derived state::CURRENT_ENTRY/LAGGED_HISTORY,P1_RACE_COMPOSITION,pre_race_runner_state,nankan_history.sqlite,races/race_runners,current allowed B0 entries + strictly lagged derived state,CURRENT_ENTRY/LAGGED_HISTORY,CURRENT_ENTRY_ALLOWED/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,current entries and strictly prior result history; field_size not predictive,Source constructibility only; no value formula or feature selection is authorized.
P1_EB_HORSE::hierarchical_grouping::race_runners::horse_key + strictly lagged outcomes::GROUPING/LAGGED_HISTORY,P1_EB_HORSE,hierarchical_grouping,nankan_history.sqlite,race_runners,horse_key + strictly lagged outcomes,GROUPING/LAGGED_HISTORY,GROUPING_ONLY/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_EB_JOCKEY::hierarchical_grouping::race_runners::jockey + strictly lagged outcomes::LAGGED_GROUPING/LAGGED_HISTORY,P1_EB_JOCKEY,hierarchical_grouping,nankan_history.sqlite,race_runners,jockey + strictly lagged outcomes,LAGGED_GROUPING/LAGGED_HISTORY,GROUPING_ONLY/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_EB_HORSE_VENUE::hierarchical_grouping::races/race_runners::horse_key + venue + strictly lagged outcomes::GROUPING/LAGGED_HISTORY,P1_EB_HORSE_VENUE,hierarchical_grouping,nankan_history.sqlite,races/race_runners,horse_key + venue + strictly lagged outcomes,GROUPING/LAGGED_HISTORY,GROUPING_ONLY/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
P1_EB_JOCKEY_VENUE::hierarchical_grouping::races/race_runners::jockey + venue + strictly lagged outcomes::LAGGED_GROUPING/LAGGED_HISTORY,P1_EB_JOCKEY_VENUE,hierarchical_grouping,nankan_history.sqlite,races/race_runners,jockey + venue + strictly lagged outcomes,LAGGED_GROUPING/LAGGED_HISTORY,GROUPING_ONLY/LAGGED_HISTORY_ALLOWED,true,false,false,false,false,false,source_race_date < target_race_date,Source constructibility only; no value formula or feature selection is authorized.
